["port 1","BOTTOM"]
["port 2","LEFT"]
("port 2","mode 1",1,"port 2",1,"transmission")
(100, 3)
1.9355254284206472e+14 6.1912715524724217e-04 2.2264014449405995e+00
1.9359680654881419e+14 6.0469287137141739e-04 2.2025350021291881e+00
1.9364107025556366e+14 5.9102935598181485e-04 2.1771760697785014e+00
1.9368533396231312e+14 5.7818452097126735e-04 2.1503311871653525e+00
1.9372959766906259e+14 5.6620567065181237e-04 2.1220248873274472e+00
1.9377386137581203e+14 5.5513873185857726e-04 2.0923021089651193e+00
1.9381812508256150e+14 5.4502737462580044e-04 2.0612302714441921e+00
1.9386238878931097e+14 5.3591204234562282e-04 2.0289008009459697e+00
1.9390665249606044e+14 5.2782892208062978e-04 1.9954298874264769e+00
1.9395091620280991e+14 5.2080889736250428e-04 1.9609582684121183e+00
1.9399517990955938e+14 5.1487653610261255e-04 1.9256498819167909e+00
1.9403944361630884e+14 5.1004917308080516e-04 1.8896893082879933e+00
1.9408370732305831e+14 5.0633614816130020e-04 1.8532780243505926e+00
1.9412797102980778e+14 5.0373825660722819e-04 1.8166296113519542e+00
1.9417223473655725e+14 5.0224745631917780e-04 1.7799641735582403e+00
1.9421649844330672e+14 5.0184685918843385e-04 1.7435023177079951e+00
1.9426076215005619e+14 5.0251101235161276e-04 1.7074590975615569e+00
1.9430502585680566e+14 5.0420645243932623e-04 1.6720383321608474e+00
1.9434928956355512e+14 5.0689249542320051e-04 1.6374276601916358e+00
1.9439355327030459e+14 5.1052220886091892e-04 1.6037946050691114e+00
1.9443781697705406e+14 5.1504350413698495e-04 1.5712838123097839e+00
1.9448208068380353e+14 5.2040028414048118e-04 1.5400155018080135e+00
1.9452634439055300e+14 5.2653358613035609e-04 1.5100850706348508e+00
1.9457060809730247e+14 5.3338266868439171e-04 1.4815636995260690e+00
1.9461487180405194e+14 5.4088600371093192e-04 1.4544997646792863e+00
1.9465913551080138e+14 5.4898214750307686e-04 1.4289208353381035e+00
1.9470339921755084e+14 5.5761047717247921e-04 1.4048360424095587e+00
1.9474766292430031e+14 5.6671178933202445e-04 1.3822386264756072e+00
1.9479192663104978e+14 5.7622876613140357e-04 1.3611085074613722e+00
1.9483619033779925e+14 5.8610631945028445e-04 1.3414147560789178e+00
1.9488045404454872e+14 5.9629182753994660e-04 1.3231178838787485e+00
1.9492471775129819e+14 6.0673527995552280e-04 1.3061719010549950e+00
