["I+","RIGHT"]
["I-","RIGHT"]
["LO","TOP"]
["Q+","LEFT"]
["Q-","LEFT"]
["Signal1","BOTTOM"]
["Signal2","BOTTOM"]
("Signal1","mode 1",1,"Signal1",1,"transmission")
(102, 3)
1.9271153241382484e+14 1.1131998445684934e-02 5.1279972173968646e+00
1.9275579612057431e+14 1.0956374465240833e-02 5.2250549302977269e+00
1.9280005982732378e+14 1.0764929662332981e-02 5.3208742700246727e+00
1.9284432353407325e+14 1.0560555665782513e-02 5.4154521084938025e+00
1.9288858724082269e+14 1.0346196358954247e-02 5.5088100637728257e+00
1.9293285094757216e+14 1.0124789891467676e-02 5.6009988696983841e+00
1.9297711465432162e+14 9.8992084477981506e-03 5.6921028226361781e+00
1.9302137836107109e+14 9.6721972549281571e-03 5.7822440026852178e+00
1.9306564206782056e+14 9.4463148573532430e-03 5.8715858855938823e+00
1.9310990577457003e+14 9.2238772586757650e-03 5.9603359031806837e+00
1.9315416948131950e+14 9.0069090386472699e-03 6.0487464943379319e+00
1.9319843318806897e+14 8.7971048887766686e-03 6.1371142345374148e+00
1.9324269689481844e+14 8.5958050433428690e-03 6.2257767499367747e+00
1.9328696060156791e+14 8.4039877075099724e-03 6.3151073085768443e+00
1.9333122430831738e+14 8.2222807425539161e-03 6.4055072122253289e+00
1.9337548801506684e+14 8.0509935838599337e-03 6.4973963463882676e+00
1.9341975172181631e+14 7.8901687570673059e-03 6.5912024311340636e+00
1.9346401542856578e+14 7.7396506164222551e-03 6.6873496041307465e+00
1.9350827913531525e+14 7.5991672875265846e-03 6.7862469319668079e+00
1.9355254284206472e+14 7.4684204625950074e-03 6.8882772894010973e+00
1.9359680654881419e+14 7.3471768056699036e-03 6.9937868044920588e+00
1.9364107025556366e+14 7.2353543161744298e-03 7.1030748020146977e+00
1.9368533396231312e+14 7.1330970240296252e-03 7.2163839620452652e+00
1.9372959766906259e+14 7.0408317600413250e-03 7.3338903171720933e+00
1.9373235434948506e+14 7.0354312923479002e-03 7.3413499783197196e+00
1.9377110469538956e+14 6.9640470259311523e-03 7.4479809877172283e+00
1.9377386137581203e+14 6.9593013928393455e-03 7.4556927984293608e+00
1.9381812508256150e+14 6.8895698548153660e-03 7.5818023391680764e+00
1.9386238878931097e+14 6.8329956024138104e-03 7.7121310510816699e+00
1.9390665249606044e+14 6.7911720582729592e-03 7.8464826337273905e+00
1.9395091620280991e+14 6.7658362455341849e-03 7.9845458298238023e+00
1.9399517990955938e+14 6.7587502815933441e-03 8.1258931789746960e+00
1.9403944361630884e+14 6.7715643714123964e-03 8.2699872989951739e+00
1.9408370732305831e+14 6.8056737413815281e-03 8.4161962353310127e+00
1.9412797102980778e+14 6.8620845577516592e-03 8.5638180419402889e+00
1.9417223473655725e+14 6.9413042218921840e-03 8.7121129438038807e+00
1.9421649844330672e+14 7.0432689091369559e-03 8.8603396911058958e+00
1.9426076215005619e+14 7.1673160442664854e-03 9.0077916376173413e+00
1.9430502585680566e+14 7.3122027222889911e-03 9.1538280621667223e+00
1.9434928956355512e+14 7.4761645585542345e-03 9.2978973113948484e+00
